id,non-commonsense-statement,sentence1,sentence2,sentence3,label
4397,من المرجح أن تجد ديناصورًا في مختبر أبحاث,الآن انقرضت الديناصورات,الديناصورات لم تر المختبر,ربما يكون الديناصور أكبر من مختبر الأبحاث,0
4398,يمكنك رؤية القمر خلال النهار.,ستخفي الشمس القمر.,الشمس أكثر إشراقا من القمر.,يظهر القمر في الليل فقط.,2
4399,السماء صفراء,السماء لا نهاية لها,لا يستطيع البشر الطيران في السماء,لن تظهر السماء باللون الأصفر,2
4400,وضعت ليلى على تي شيرت الكرة,تي شيرت رخيص للغاية بالنسبة للكرة,القميص غير مناسب للكرة,يغطي القميص فقط الجزء العلوي من الجسم,1
4401,يتطلب تقديم هدية لعبة لإعطائها,حصلت على لعبة لعيد ميلادها هذا العام,الناس العاديون لا يقدمون الهدايا لألعابهم,يمكن إعطاء الألعاب للأطفال كهدية,1
4402,يمكنني الخروج بدون ارتداء الملابس.,إنها باردة جدا في الخارج.,من غير اللائق والعار الخروج من دون ارتداء الملابس.,ستصاب بالبرد إذا لم ترتدي ملابس للتدفئة.,1
4403,يوفر الحجر العناصر الغذائية للنباتات,تحتاج النباتات إلى العناصر الغذائية لتنمو,غالبًا ما تكون هناك أحجار حول النباتات,لا يمكن تخزين العناصر الغذائية في الحجارة,2
4404,يبكي الناس عندما يكونون سعداء,الناس غاضبون عندما يبكون,البكاء والضحك هي الطرق التي يستخدمها الناس للتعبير عن عواطفهم,البكاء ليس طريقة للتعبير عن المشاعر السعيدة,2
4405,عادت استوديوهات سالي القديمة لزيارتها,الاستوديوهات هي غرفة عمل.,الطلاب لم يبقوا في الاستوديوهات.,لم يكن لدى سالي استوديوهات.,0
4406,قد يتم كسر الماس بسهولة.,لن يكسر أحد الماس لأنها جميلة,الماس مصنوع من أقسى المواد في العالم,"الماس باهظ الثمن ، لذا لن يكسره أحد",1
4407,قد تجد بطة على الشجرة,الشجرة ليست موطن البطة,لا يمكن أن يطير البط على الأشجار,لا يستطيع البط العثور على طعام على الشجرة,1
4408,وضع الناس سلة القمامة في السلة,القمامة ضارة لمعظم الناس,يجب أن يتعلم الناس تصنيف القمامة,السلة ليست مكانا لوضع القمامة,2
4409,تتطلب كتابة ورقة البحث الانتباه المشتت,غالبًا ما نتشتت انتباهنا عن كتابة أوراق البحث,من السهل أن تشتت انتباهك ليس فقط كتابة ورقة مصطلح,الإلهاء سيء للتفكير وكتابة ورقة مصطلح,2
4410,غالبًا ما يرتدي الرجال السراويل القصيرة في الشتاء.,لم يعد الرجال يحبون السراويل القصيرة في الشتاء.,لا يرتدي الرجال السراويل القصيرة عندما يكون الجو باردًا في الشتاء.,الرجال يحبون ارتداء السراويل في الشتاء.,1
4411,شربت جين زجاجة زيت.,قد يموت الأشخاص الذين يشربون الزيت مباشرة.,رائحة النفط مروعة.,يبدو النفط مختلفًا عن الماء.,0
4412,أرسل سانتا كلوز جيم هدية عيد الميلاد.,لا يوجد سانتا كلوز في العالم.,سانتا كلوز مشغول للغاية.,سانتا كلوز قديم.,0
4413,الخبز مصنوع من الرمل.,الرمل صعب وخشن للغاية ولا يمكن صنعه في الخبز.,الرمل أرخص بكثير من القمح.,الرمل أكثر شيوعًا من القمح.,0
4414,يمكن للطيور السباحة.,"لا تستطيع الطيور السباحة ، فهي تطير.",الطيور تتمتع بحياتها تحلق.,الطيور تخاف من السباحة.,0
4415,يستخدم القلم لحفر الثقوب.,القلم صغير جدًا لحفر الثقوب.,القلم أغلى من المثقاب.,يستخدم القلم للكتابة وليس صعبًا بما يكفي لحفر الثقوب.,2
4416,الزهور والحشرات ليس لها علاقة.,تطير بعض الحشرات حول الزهور.,بعض الحشرات تغني حول الزهور.,يمكن أن يكون للزهور والحشرات علاقة تكافلية.,2
4417,كنت ستأكل في رائد فضاء للوجبات السريعة.,لا يمكن لرواد الفضاء طهي الوجبات السريعة.,رائد فضاء لا يحب أكل الوجبات السريعة.,رائد الفضاء ليس مكانًا لتناول الطعام.,2
4418,أسماك القرش تصطاد الأغنام في البحر,أسماك القرش أقوى من الأغنام,تسبح الأغنام أبطأ من الأسماك,الاغنام لا تعيش في البحر,2
4419,فحم الكوك مصنوع من الكحول.,الكحول أغلى من الشراب.,لا يوجد أي كحول في فحم الكوك.,مذاق الكحول سيئ.,1
4420,قد يكون العالم الزجاجي الزخرفي عديم القيمة,تعتبر كرات زجاج الزينة جميلة جدًا بحيث يفضل الناس دفع ثمنها,إن كرة زجاج الزينة عديمة الفائدة,لا يسمح بوجود كرة زجاجية مزخرفة في القوانين,0
4421,من المحتمل أن تجد دلفين في فناء,الطعام في الفناء ليس للدلافين,الدلفين لا يمكن أن يعيش في فناء,الفناء صغير جدًا للدلافين,1
4422,قدت سفينة على الطريق.,يمكن للسفن أن تقود فقط على الماء.,من الخطر قيادة سفينة على الطريق.,السفينة أغلى من سيارة.,0
4423,أحضرت ماري بطانية حريرية لرحلتها في حال كانت ساخنة,من غير المحتمل أن تكون الرحلة شديدة الحرارة,بطانية يمكن أن تبقي واحدة دافئة ضد درجة حرارة منخفضة,بطانية حريرية رقيقة جدًا لإبقاء الناس دافئين,1
4424,الطفل تواجد لقيادة البلاد.,لا يوجد طفل في البلد.,الطفل هو صغير للغاية لقيادة بلد.,ملك البلاد ليس لديه طفل.,1
4425,"إذا كنت ترغب في البقاء بصحة جيدة ، فيجب عليك تناول المزيد من اللحوم الحمراء","إذا تم تناول اللحوم الحمراء بكثرة ، فسوف تتسبب في ضرر للجسم",لا يحتاج الناس إلى تناول الكثير من اللحوم الحمراء في حياتهم اليومية,"في المجتمع الحديث ، لا يحب المزيد والمزيد من الناس تناول اللحوم الحمراء",0
4426,جميع الأغنياء غير أخلاقيين,لا يمكن للأغنياء شراء غير أخلاقي بالمال,الأغنياء غير الأخلاقيين هم أقلية فقط,الأغنياء غير الأخلاقيين ليسوا صالحين,1
4427,استخدمت سالي حياة.,سالي ليست حياة.,ليس هناك سكين في حياتها.,استخدام الحياة غير قانوني.,2
4428,كتب جيل رسالة مع فرع.,جيل لا تعرف أي كلمة.,لا يمكن للفروع كتابة رسالة.,جيل لا تستطيع الحصول على فرع.,1
4429,"إذا كنت تريد الحصول على بول ، فيجب أن تجد غرفة معيشة",لا يوجد حوض في غرفة المعيشة لغسل اليدين,لا يوجد مرحاض في غرفة المعيشة للتبول,من الصعب التنظيف إذا كنت تتبول في غرفة المعيشة,1
